TELCO_ID,PREPAID_AMT_MTH_1,PREPAID_AMT_MTH_2,PREPAID_AMT_MTH_3,PREPAID_AMT_MTH_4,PREPAID_AMT_MTH_5,PREPAID_AMT_MTH_6,POSTPAID_AMT_MTH_1,POSTPAID_AMT_MTH_2,POSTPAID_AMT_MTH_3,POSTPAID_AMT_MTH_4,POSTPAID_AMT_MTH_5,POSTPAID_AMT_MTH_6,TOTAL_POSTPAID_AMT,TOTAL_PREPAID_AMT,AVG_POSTPAID_AMT,AVG_PREPAID_AMT
C-53717,0,0,0,0,0,0,1094.5,1193,599.5625,478.0625,485.25,454.4375,4304.8125,0,717.46875,0
C-45762,0,0,0,0,0,0,970,963.625,687.5,388.75,373.75,401.25,3784.875,0,630.8125,0
C-42090,575,900,1012.5,725,662.5,450,0,0,0,0,0,0,0,4325,0,720.8333334
C-43771,0,0,0,0,0,0,0,0,0,0,517.5,0,517.5,0,86.25,0
C-46215,0,0,0,0,0,0,162.5,0,0,0,0,162.5,325,0,54.16666666,0
C-46855,37.5,0,150,43.75,75,18.75,125,125,125,125,125,0,625,325,104.1666667,54.16666666
C-40870,0,0,0,0,6.25,0,0,0,120.9625,0,125,120,365.9625,6.25,60.99375,1.041666666
C-50645,0,0,0,0,0,0,162.5,350,0,369.75,0,162.5,1044.75,0,174.125,0
C-41186,0,0,0,0,0,0,419.1,471.3375,635.1375,642.375,0,356.95,2524.9,0,420.8166666,0
C-50748,75,43.75,50,37.5,12.5,0,0,91.25,92.75,92.75,0,98.1875,374.9375,218.75,62.48958334,36.45833334
C-45519,0,0,0,0,0,0,0,0,323.75,343.1875,329.3125,321.0625,1317.3125,0,219.5520834,0
C-45833,87.5,125,162.5,25,131.25,137.5,70,0,0,0,0,0,70,668.75,11.66666667,111.4583333
C-46541,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,4.166666666
C-46804,0,0,0,0,0,0,550,250,337.5,0,0,375,1512.5,0,252.0833334,0
C-44370,0,0,0,0,0,0,0,0,0,53.75,53.75,0,107.5,0,17.91666666,0
C-45424,37.5,0,75,50,50,0,12.5,0,12.5,0,0,6.25,31.25,212.5,5.208333334,35.41666666
C-46597,0,0,0,0,0,0,0,0,0,0,0,187.5,187.5,0,31.25,0
C-44728,0,0,0,0,0,0,0,117.5625,37.5,113.75,0,121.25,390.0625,0,65.01041666,0
C-45418,0,0,0,0,0,0,332.5,447.5,580,252.5,252.5,166.25,2031.25,0,338.5416666,0
C-45937,0,0,0,0,0,0,0,106.25,105.5625,105,211.25,106.25,634.3125,0,105.71875,0
C-48273,0,0,0,0,0,0,312.5,875,500,250,0,562.5,2500,0,416.6666666,0
C-52723,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,25,0,4.166666666
C-45360,125,562.5,250,125,125,125,0,0,0,0,0,0,0,1312.5,0,218.75
C-51880,0,0,25,12.5,0,18.75,0,0,0,0,0,0,0,56.25,0,9.375
C-47997,0,0,0,0,0,0,200,200,100,200,0,100,800,0,133.3333334,0
C-42152,0,0,0,0,0,0,106,106.8,124.15,106.8,107,106,656.75,0,109.4583333,0
C-46235,0,0,0,0,0,0,0,0,0,0,337.5,275,612.5,0,102.0833333,0
C-40878,0,0,0,0,0,0,2125,2125,2312.5,1875,1562.5,0,10000,0,1666.666666,0
C-52972,25,0,75,37.5,37.5,0,0,2000,125,0,112.5,100,2337.5,175,389.5833334,29.16666666
C-43441,75,0,75,112.5,75,75,150,0,175,75,81.25,63.125,544.375,412.5,90.72916666,68.75
C-53491,150,156.25,93.75,100,6.25,112.5,0,0,0,0,0,0,0,618.75,0,103.125
C-44052,75,75,75,75,75,100,443.75,450,0,443.75,893.75,450,2681.25,475,446.875,79.16666666
C-42462,37.5,0,0,0,0,0,107.5,650,105,371.25,112.5,757.5,2103.75,37.5,350.625,6.25
C-41835,56.25,56.25,18.75,6.25,18.75,50,500,225,231.25,175,250,212.5,1593.75,206.25,265.625,34.375
C-41456,0,0,0,0,0,0,0,0,424,0,106.4625,0,530.4625,0,88.41041666,0
C-47650,0,0,0,0,0,0,312.5,187.5,625,375,1782,1312.5,4594.5,0,765.75,0
C-46507,225,325,81.25,137.5,112.5,87.5,0,0,0,0,0,0,0,968.75,0,161.4583334
C-46630,350,350,450,362.5,337.5,275,225,250,250,187.5,312.5,187.5,1412.5,2125,235.4166666,354.1666666
C-50363,0,0,0,0,0,0,200,212.5,218.75,275,0,325,1231.25,0,205.2083334,0
C-44763,0,0,50,0,37.5,0,0,0,0,0,0,0,0,87.5,0,14.58333334
C-47289,50,37.5,75,37.5,37.5,37.5,0,0,0,0,0,0,0,275,0,45.83333334
C-47547,0,0,0,0,0,0,420,212.5,212.5,212.5,212.5,212.5,1482.5,0,247.0833334,0
C-53931,0,0,0,0,0,0,0,87.5,0,0,64.0625,37.5,189.0625,0,31.51041666,0
C-54054,0,0,0,0,0,0,0,0,0,11.325,0,0,11.325,0,1.8875,0
C-48990,0,0,0,0,0,0,0,0,0,0,0,196.1,196.1,0,32.68333334,0
C-51404,106.25,75,131.25,100,50,75,0,0,0,0,0,0,0,537.5,0,89.58333334
C-46509,37.5,75,37.5,75,75,0,0,0,0,0,0,0,0,300,0,50
C-50270,87.5,0,0,0,12.5,0,63.625,236.9375,0,0,0,0,300.5625,100,50.09375,16.66666666
C-48448,37.5,25,37.5,37.5,25,37.5,0,0,0,0,0,0,0,200,0,33.33333334
C-45650,0,0,0,0,0,0,40.9375,365.75,40.9375,40.9375,40.9375,40.9375,570.4375,0,95.07291666,0
C-46006,125,25,0,0,37.5,12.5,0,0,0,0,0,0,0,200,0,33.33333334
C-45295,12.5,12.5,0,0,0,0,388.625,386.375,399.8,415.0125,408.85,434.375,2433.0375,25,405.50625,4.166666666
C-42413,0,75,0,0,0,0,0,0,0,0,0,0,0,75,0,12.5
C-48935,75,12.5,0,12.5,37.5,12.5,0,0,0,0,0,0,0,150,0,25
C-44301,0,0,0,0,0,0,187.5,187.5,187.5,187.5,187.5,187.5,1125,0,187.5,0
C-43478,37.5,0,137.5,62.5,37.5,12.5,59.375,67.6875,62.8125,70.6875,0,158.25,418.8125,287.5,69.80208334,47.91666666
C-45407,175,50,81.25,118.75,81.25,75,200,0,400,207.375,200,191.25,1198.625,581.25,199.7708334,96.875
C-48230,0,0,0,0,0,0,0,0,0,450,0,0,450,0,75,0
C-43375,0,0,0,37.5,12.5,0,0,337.5,112.5,0,250,150,850,50,141.6666666,8.333333334
C-44394,0,0,0,0,0,0,600,550,600,312.5,312.5,300,2675,0,445.8333334,0
C-44297,187.5,187.5,175,112.5,125,112.5,0,0,0,0,0,0,0,900,0,150
C-43922,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-52381,75,37.5,200,150,125,150,0,0,0,0,0,0,0,737.5,0,122.9166667
C-42544,0,162.5,62.5,0,62.5,125,430.375,433.5,218.5,215.1875,222.6875,428.625,1948.875,412.5,324.8125,68.75
C-54164,0,0,0,0,0,0,0,62.5,546.6375,0,275,0,884.1375,0,147.35625,0
C-53753,50,0,37.5,0,0,0,0,0,0,0,0,0,0,87.5,0,14.58333334
C-42469,0,0,0,12.5,0,0,212,207.75,112.5,106,212,0,850.25,12.5,141.7083334,2.083333334
C-47080,0,0,0,0,0,0,0,0,66.25,0,78.075,0,144.325,0,24.05416666,0
C-48828,12.5,0,0,0,0,0,0,198.75,198.75,286.9375,0,107.3125,791.75,12.5,131.9583334,2.083333334
C-51528,0,0,0,0,0,0,0,112.5,0,0,0,0,112.5,0,18.75,0
C-41170,56.25,62.5,25,0,0,0,100,0,100,212.5,100,0,512.5,143.75,85.41666666,23.95833334
C-44640,0,0,0,0,0,0,168.4375,0,0,334.125,0,0,502.5625,0,83.76041666,0
C-48326,37.5,0,0,0,75,0,0,0,0,0,0,0,0,112.5,0,18.75
C-44153,0,250,62.5,62.5,62.5,0,0,0,0,0,0,0,0,437.5,0,72.91666666
C-49630,0,0,0,0,0,0,0,100,0,291.25,0,0,391.25,0,65.20833334,0
C-48733,37.5,37.5,0,0,50,0,164,163.75,326.325,66.25,97.5,222.5,1040.325,125,173.3875,20.83333334
C-56190,12.5,37.5,75,12.5,62.5,125,0,0,0,0,0,78.875,78.875,325,13.14583334,54.16666666
C-48507,75,0,0,0,0,0,500,0,250,0,0,250,1000,75,166.6666666,12.5
C-43287,0,0,0,0,0,0,0,387.5,187.5,437.5,325,562.5,1900,0,316.6666666,0
C-44855,0,150,81.25,175,62.5,0,0,0,0,0,0,211.25,211.25,468.75,35.20833334,78.125
C-49796,187.5,0,0,0,0,0,0,0,0,0,0,0,0,187.5,0,31.25
C-48027,0,0,0,0,0,0,1486.75,371.6875,369.375,369.375,369.375,369.375,3335.9375,0,555.9895834,0
C-48538,0,0,0,0,0,0,123.75,0,0,0,0,112.5,236.25,0,39.375,0
C-49358,0,0,0,0,0,0,21.625,244,24,109.6875,118.9375,118.3125,636.5625,0,106.09375,0
C-41816,0,0,0,0,0,0,0,0,0,0,0,157.6875,157.6875,0,26.28125,0
C-46203,0,0,0,0,0,0,407.5,203.75,203.75,203.75,0,0,1018.75,0,169.7916666,0
C-49272,0,0,0,0,0,0,332.5625,0,0,0,0,0,332.5625,0,55.42708334,0
C-43809,0,0,0,0,0,6.25,0,0,0,0,0,0,0,6.25,0,1.041666666
C-47351,0,0,0,0,0,225,77.0625,0,0,55,0,136.5,268.5625,225,44.76041666,37.5
C-51453,0,25,25,0,0,0,0,0,0,325,287.5,0,612.5,50,102.0833333,8.333333334
C-42515,0,150,100,0,200,0,0,729.625,990.5,503.1875,942.5,475.8125,3641.625,450,606.9375,75
C-44118,0,0,0,0,0,0,0,137.5,187.5,0,287.5,112.5,725,0,120.8333333,0
C-45970,0,0,0,0,0,0,87.5,0,93.75,93.75,0,95,370,0,61.66666666,0
C-45448,0,0,0,0,0,0,225.75,115.6875,115.4375,112.625,225.25,112.625,907.375,0,151.2291666,0
C-49469,37.5,37.5,37.5,0,37.5,0,275,259.0625,195.375,195.8125,257.5,131.5625,1314.3125,150,219.0520834,25
C-52078,0,0,0,0,0,0,212.5,225,0,225,0,250,912.5,0,152.0833334,0
C-48012,6.25,25,18.75,0,0,37.5,0,0,0,87.5,87.5,87.5,262.5,87.5,43.75,14.58333334
C-49122,75,150,12.5,75,0,50,0,0,0,0,0,0,0,362.5,0,60.41666666
C-48871,50,75,50,75,75,37.5,200,0,0,125,187.5,125,637.5,362.5,106.25,60.41666666
C-40405,68.75,200,150,150,75,87.5,0,0,0,0,0,0,0,731.25,0,121.875
C-42114,0,0,0,0,0,0,0,0,0,0,0,150,150,0,25,0
C-40630,0,0,0,0,0,0,200,62.5,0,0,81.25,0,343.75,0,57.29166666,0
C-45672,0,0,0,0,0,0,175,62.5,0,106.25,125,169.375,638.125,0,106.3541667,0
C-43531,0,0,0,0,0,0,172.5,191.25,178.75,156.25,168.75,216.25,1083.75,0,180.625,0
C-43902,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,8.333333334
C-51067,0,0,0,0,0,0,245.125,0,0,212.5,0,246.25,703.875,0,117.3125,0
C-41296,325,43.75,93.75,106.25,100,93.75,155.25,78.75,77.625,78.75,77.625,78.75,546.75,762.5,91.125,127.0833334
C-40188,0,0,0,12.5,0,12.5,37.5,37.5,0,50,37.5,87.5,250,25,41.66666666,4.166666666
C-44010,0,0,112.5,112.5,75,75,250,187.5,187.5,187.5,0,187.5,1000,375,166.6666666,62.5
C-51028,62.5,0,0,37.5,0,37.5,0,0,187.5,0,0,0,187.5,137.5,31.25,22.91666666
C-40709,0,0,25,0,0,200,0,0,0,0,0,0,0,225,0,37.5
C-48713,0,0,0,0,0,0,0,0,465.0625,470.125,465.25,465.875,1866.3125,0,311.0520834,0
C-48856,0,0,0,0,0,0,0,0,0,0,0,217.9375,217.9375,0,36.32291666,0
C-50715,156.25,87.5,62.5,62.5,62.5,12.5,0,0,0,0,0,0,0,443.75,0,73.95833334
C-44358,212.5,87.5,100,87.5,112.5,125,0,0,0,204.5,475,36.25,715.75,725,119.2916667,120.8333333
C-53437,312.5,87.5,162.5,162.5,162.5,112.5,0,0,0,0,0,0,0,1000,0,166.6666666
C-49094,0,0,37.5,0,0,0,0,0,0,0,0,0,0,37.5,0,6.25
C-41869,37.5,68.75,25,75,31.25,43.75,187.5,0,187.5,0,25,243.75,643.75,281.25,107.2916667,46.875
C-54325,25,25,62.5,25,75,87.5,250,250,125,0,300,62.5,987.5,300,164.5833334,50
C-50892,125,0,75,187.5,0,0,0,0,0,0,0,0,0,387.5,0,64.58333334
C-48394,0,0,0,0,0,0,618.25,0,285.8125,282.9375,571.125,378.9125,2137.0375,0,356.1729166,0
C-46353,0,0,0,0,0,0,187.5,107.5,100,0,100,187.5,682.5,0,113.75,0
C-49399,0,0,0,0,0,0,175,112.5,0,262.5,87.5,85,722.5,0,120.4166667,0
C-48516,200,250,137.5,43.75,125,56.25,0,0,0,0,0,0,0,812.5,0,135.4166666
C-41098,0,0,0,0,0,0,361.1875,312.5,298.3125,175,187.5,232.9375,1567.4375,0,261.2395834,0
C-48893,125,125,75,25,112.5,112.5,0,0,0,0,0,0,0,575,0,95.83333334
C-42343,50,37.5,50,62.5,50,50,0,106,106,106,0,0,318,300,53,50
C-47727,350,137.5,150,175,175,175,0,0,0,0,0,0,0,1162.5,0,193.75
C-42291,37.5,50,12.5,18.75,25,12.5,112.5,112.5,37.5,112.5,112.5,112.5,600,156.25,100,26.04166666
C-49152,0,0,125,0,0,0,475,337.5,375,300,400,237.5,2125,125,354.1666666,20.83333334
C-48816,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-45593,150,18.75,125,37.5,6.25,56.25,0,225,112.5,130,112.5,175,755,393.75,125.8333334,65.625
C-50792,25,12.5,0,62.5,12.5,12.5,227.5,220,215,110,106.25,108.75,987.5,125,164.5833334,20.83333334
C-43640,0,0,0,0,0,0,256.625,0,0,0,0,0,256.625,0,42.77083334,0
C-48162,0,0,0,0,0,0,456.2,480.775,228.1625,405.5375,329.6125,501.875,2402.1625,0,400.3604166,0
C-42054,0,0,0,0,37.5,0,0,0,0,0,0,0,0,37.5,0,6.25
C-44159,75,6.25,0,12.5,62.5,68.75,0,0,100,87.5,87.5,100,375,225,62.5,37.5
C-42840,350,150,406.25,462.5,162.5,37.5,0,0,0,0,187.5,0,187.5,1568.75,31.25,261.4583334
C-50004,100,150,193.75,37.5,37.5,62.5,0,0,0,0,0,162.5,162.5,581.25,27.08333334,96.875
C-43327,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,0,1.041666666
C-46032,0,0,0,0,0,0,0,0,135.3125,0,133.4375,0,268.75,0,44.79166666,0
C-48819,75,100,75,100,75,50,177.5,150,147.5,150,152.5,150,927.5,475,154.5833334,79.16666666
C-46957,0,0,0,0,0,0,741.375,453.875,0,0,212,123.6875,1530.9375,0,255.15625,0
C-44231,100,106.25,150,137.5,243.75,137.5,0,0,0,0,0,0,0,875,0,145.8333334
C-52306,0,0,0,0,0,0,289.5125,0,273.75,0,0,0,563.2625,0,93.87708334,0
C-43282,0,0,0,0,0,0,506.25,0,262.5,575,43.75,318.75,1706.25,0,284.375,0
C-49167,0,0,0,0,0,0,160,137.5,125,133.75,132.5,133.75,822.5,0,137.0833334,0
C-52203,12.5,0,0,0,0,12.5,187.5,125,0,250,0,87.5,650,25,108.3333333,4.166666666
C-56806,0,0,25,0,0,0,312.5,125,125,375,312.5,225,1475,25,245.8333334,4.166666666
C-50245,0,0,0,6.25,12.5,25,0,0,0,0,0,0,0,43.75,0,7.291666666
C-57003,0,25,0,0,0,0,588.8125,375,326.25,356.25,364.375,125,2135.6875,25,355.9479166,4.166666666
C-49403,0,37.5,0,0,37.5,37.5,0,0,128.75,0,0,125,253.75,112.5,42.29166666,18.75
C-43286,0,0,0,0,0,0,110.25,107.3125,108.125,108.375,109.1875,107.375,650.625,0,108.4375,0
C-45400,0,0,0,0,0,0,0,0,500,901.1875,0,463,1864.1875,0,310.6979166,0
C-52645,0,0,0,0,0,0,0,0,111.1625,0,102.2,0,213.3625,0,35.56041666,0
C-51112,0,0,0,6.25,62.5,12.5,0,0,0,0,0,0,0,81.25,0,13.54166666
C-49076,50,25,37.5,37.5,75,12.5,162.5,0,190,187.5,75,87.5,702.5,237.5,117.0833333,39.58333334
C-49429,262.5,93.75,125,168.75,100,162.5,0,0,0,0,0,0,0,912.5,0,152.0833334
C-46864,50,25,25,37.5,25,0,0,0,0,0,0,0,0,162.5,0,27.08333334
C-54457,0,25,0,0,0,37.5,0,0,0,0,0,0,0,62.5,0,10.41666667
C-45185,0,0,0,0,0,100,0,0,0,0,0,37.5,37.5,100,6.25,16.66666666
C-45553,0,0,0,0,0,0,0,0,0,200,0,100,300,0,50,0
C-57624,0,12.5,6.25,56.25,87.5,150,0,0,0,0,0,0,0,312.5,0,52.08333334
C-52154,0,0,0,0,0,0,208.175,0,0,107.3875,102.5,0,418.0625,0,69.67708334,0
C-52648,0,0,0,0,0,0,237.5,235,240,117.5,121.25,121.25,1072.5,0,178.75,0
C-51417,0,0,0,0,0,0,0,591.25,0,0,0,0,591.25,0,98.54166666,0
C-46339,0,0,0,0,0,0,375,500,312.5,187.5,200,193.75,1768.75,0,294.7916666,0
C-49184,25,0,0,12.5,0,0,0,0,0,0,0,0,0,37.5,0,6.25
C-54821,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,50,0,8.333333334
C-55034,0,37.5,0,37.5,0,37.5,0,0,63.6,0,0,0,63.6,112.5,10.6,18.75
C-49394,25,37.5,25,25,37.5,12.5,0,0,0,0,0,0,0,162.5,0,27.08333334
C-45456,0,187.5,0,0,0,0,0,0,0,149.4375,0,0,149.4375,187.5,24.90625,31.25
C-53401,150,0,12.5,112.5,112.5,43.75,0,0,0,0,0,0,0,431.25,0,71.875
C-52289,0,0,0,0,0,0,50.375,50.375,50.375,55.8125,50.375,0,257.3125,0,42.88541666,0
C-45854,0,0,37.5,0,75,0,376.375,367.125,184.8125,378.6875,0,183.625,1490.625,112.5,248.4375,18.75
C-47931,0,0,0,0,0,0,113.125,357,115.9375,110.25,59.8125,0,756.125,0,126.0208334,0
C-53396,0,0,0,0,0,0,0,0,0,437.5,437.5,0,875,0,145.8333334,0
C-51613,62.5,56.25,0,31.25,6.25,12.5,0,0,0,0,0,0,0,168.75,0,28.125
C-49616,50,56.25,68.75,18.75,43.75,31.25,0,0,0,0,0,0,0,268.75,0,44.79166666
C-49806,0,0,0,0,0,0,600,625,312.5,312.5,312.5,300,2462.5,0,410.4166666,0
C-40728,0,0,0,0,0,0,143.125,0,315.25,136,0,300.75,895.125,0,149.1875,0
C-40731,25,37.5,100,62.5,100,25,0,0,0,0,0,0,0,350,0,58.33333334
C-48609,0,0,0,0,0,0,87.5,225,50,137.5,137.5,195.4375,832.9375,0,138.8229166,0
C-51356,75,37.5,37.5,0,125,0,0,0,0,0,0,0,0,275,0,45.83333334
C-54036,0,0,0,0,0,0,0,450,597.875,0,0,0,1047.875,0,174.6458334,0
C-47187,37.5,0,37.5,0,0,0,0,0,0,0,0,407.5625,407.5625,75,67.92708334,12.5
C-47142,62.5,62.5,50,75,0,0,0,0,0,0,0,0,0,250,0,41.66666666
C-45695,0,0,37.5,0,25,12.5,0,0,0,0,0,0,0,75,0,12.5
C-43540,0,0,0,0,0,0,262.5,257.5,131.25,127.5,125,137.5,1041.25,0,173.5416666,0
C-45075,50,50,25,0,0,37.5,313.25,297.375,473.75,193.1125,257.7,283.9875,1819.175,162.5,303.1958334,27.08333334
C-42990,0,0,0,0,0,0,112.5,106.25,106.25,106.25,105.25,106.25,642.75,0,107.125,0
C-45745,0,0,37.5,37.5,0,0,0,0,0,0,0,0,0,75,0,12.5
C-44292,75,0,0,137.5,112.5,125,0,0,0,0,0,0,0,450,0,75
C-46421,0,0,0,0,0,0,0,0,460,0,0,0,460,0,76.66666666,0
C-53217,12.5,0,0,0,0,100,0,0,0,0,0,0,0,112.5,0,18.75
C-47074,0,0,0,0,0,0,40,50,43.75,50,40,125.125,348.875,0,58.14583334,0
C-44320,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-44474,0,0,0,0,0,0,500,0,250,125,250,250,1375,0,229.1666666,0
C-58773,0,0,0,0,0,0,0,0,100,100,100,156.25,456.25,0,76.04166666,0
C-43812,150,225,150,112.5,75,75,0,0,0,0,0,0,0,787.5,0,131.25
C-52134,0,37.5,0,0,187.5,0,0,0,0,0,0,0,0,225,0,37.5
C-45756,0,0,0,0,0,0,0,0,107.5,53,53,53,266.5,0,44.41666666,0
C-52209,0,0,0,0,6.25,12.5,0,0,0,0,137.5,137.5,275,18.75,45.83333334,3.125
C-50302,0,0,0,0,0,0,465.8125,460.6875,451.875,412.5625,418.625,427.1875,2636.75,0,439.4583334,0
C-50473,0,0,0,0,0,6.25,0,0,0,0,0,0,0,6.25,0,1.041666666
C-48103,0,0,0,0,0,0,303.1875,158.1875,233.625,114.6875,0,209.5,1019.1875,0,169.8645834,0
C-52454,6.25,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,1.041666666
C-44505,37.5,43.75,81.25,62.5,50,87.5,0,0,0,0,0,0,0,362.5,0,60.41666666
C-52942,0,0,37.5,25,0,0,0,0,0,0,0,130.375,130.375,62.5,21.72916666,10.41666667
C-44772,450,350,187.5,162.5,237.5,250,0,0,0,0,0,0,0,1637.5,0,272.9166666
C-49560,0,0,0,0,0,0,212.5,212.5,212.5,212.5,212.5,191.7125,1254.2125,0,209.0354166,0
C-40521,62.5,50,12.5,75,12.5,0,0,0,0,0,0,100,100,212.5,16.66666666,35.41666666
C-55084,0,0,81.25,0,100,150,0,0,0,0,0,0,0,331.25,0,55.20833334
C-53636,0,0,112.5,0,0,0,0,0,0,0,0,0,0,112.5,0,18.75
C-42264,18.75,0,6.25,12.5,18.75,18.75,0,0,0,0,0,0,0,75,0,12.5
C-47412,0,0,0,0,0,0,0,0,0,0,9.3,0,9.3,0,1.55,0
C-54984,12.5,0,0,0,0,0,0,279.5625,234.375,236.375,0,351.5,1101.8125,12.5,183.6354166,2.083333334
C-47697,162.5,87.5,112.5,93.75,150,37.5,0,0,0,0,0,0,0,643.75,0,107.2916667
C-50585,0,0,0,0,0,0,630.475,409.3875,312.05,311.3875,311.425,358.95,2333.675,0,388.9458334,0
C-46395,0,0,0,0,0,0,141.25,97.9375,110.5,107.4375,172.625,178.6875,808.4375,0,134.7395834,0
C-52197,0,0,0,0,0,62.5,0,0,0,0,0,0,0,62.5,0,10.41666667
C-49431,0,0,0,0,0,0,0,0,62.5,0,0,0,62.5,0,10.41666667,0
C-45636,0,0,0,0,0,0,0,187.5,0,0,0,0,187.5,0,31.25,0
C-45179,50,100,50,100,62.5,37.5,0,0,0,0,0,0,0,400,0,66.66666666
C-51110,0,0,0,0,0,0,547.5,275,523.75,275.6375,301.25,277.65,2200.7875,0,366.7979166,0
C-42386,0,25,37.5,12.5,0,12.5,0,74.2,37.5,37.1,37.1,37.1,223,87.5,37.16666666,14.58333334
C-51879,50,50,62.5,81.25,50,37.5,0,0,0,0,0,0,0,331.25,0,55.20833334
C-41817,0,0,0,0,0,12.5,437.5,375,387.5,625.375,0,0,1825.375,12.5,304.2291666,2.083333334
C-41071,12.5,0,37.5,12.5,0,0,212.3125,167.5,157.15,172.9125,172.25,141.2875,1023.4125,62.5,170.56875,10.41666667
C-47476,0,25,6.25,37.5,0,18.75,304.75,302.1,151.05,151.05,147.5375,145.75,1202.2375,87.5,200.3729166,14.58333334
C-42723,0,0,0,0,0,0,882.575,510.825,443.7,476.675,906.1625,450.8375,3670.775,0,611.7958334,0
C-53918,0,0,0,0,0,0,0,62.5,212.5,0,100,62.5,437.5,0,72.91666666,0
C-49068,12.5,0,0,50,12.5,18.75,0,0,0,0,0,0,0,93.75,0,15.625
C-48325,37.5,0,0,0,12.5,12.5,0,0,0,0,0,0,0,62.5,0,10.41666667
C-49884,0,0,0,0,0,0,0,62,76.6875,67.25,43.75,53.75,303.4375,0,50.57291666,0
C-56430,150,225,225,175,150,150,0,0,0,0,0,0,0,1075,0,179.1666666
C-51667,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,2.083333334
