BANK_ID,TELCO_ID
10348,C-40405
11782,C-42114
17776,C-50015
18065,C-50404
10542,C-40630
14567,C-45672
12090,C-42487
14900,C-46135
17427,C-49542
14954,C-46210
12913,C-43531
22433,C-56384
19528,C-52424
12634,C-43179
16700,C-48548
19077,C-51797
19289,C-52091
13663,C-44482
15475,C-46897
21927,C-55700
16529,C-48313
19452,C-52322
13206,C-43902
18540,C-51067
11099,C-41296
12808,C-43403
16953,C-48890
17731,C-49951
10166,C-40188
13290,C-44010
18511,C-51028
10340,C-40397
21252,C-54781
10607,C-40709
17068,C-49059
16946,C-48883
16827,C-48713
17414,C-49520
18462,C-50952
17967,C-50273
17478,C-49604
18494,C-51003
14838,C-46045
10449,C-40518
16881,C-48796
10795,C-40932
16238,C-47929
13176,C-43860
15331,C-46695
16579,C-48383
16926,C-48856
21133,C-54627
20141,C-53260
16368,C-48102
15028,C-46304
18287,C-50715
18208,C-50604
17124,C-49133
10504,C-40583
16697,C-48545
17613,C-49787
12905,C-43523
17238,C-49285
16341,C-48062
11439,C-41698
13563,C-44358
17896,C-50178
13370,C-44115
15183,C-46517
17580,C-49741
20265,C-53437
23455,C-57762
18869,C-51513
21057,C-54524
11122,C-41323
16039,C-47640
17094,C-49094
13169,C-43849
14004,C-44937
19524,C-52419
11382,C-41630
20895,C-54281
16865,C-48767
23084,C-57267
11580,C-41869
19396,C-52239
16850,C-48746
18293,C-50723
22163,C-56028
20925,C-54325
14502,C-45587
21474,C-55086
12712,C-43281
16754,C-48618
18187,C-50577
16785,C-48657
18421,C-50892
14642,C-45771
14408,C-45449
15115,C-46425
21786,C-55504
16173,C-47836
18876,C-51522
16589,C-48394
16452,C-48213
15061,C-46353
13597,C-44402
17324,C-49399
13839,C-44721
20427,C-53666
22161,C-56024
14231,C-45240
15036,C-46314
16674,C-48516
17365,C-49453
17858,C-50123
18432,C-50907
18229,C-50637
10397,C-40458
10933,C-41098
14668,C-45811
16155,C-47804
19481,C-52359
16954,C-48893
13905,C-44810
11967,C-42343
15940,C-47515
19031,C-51743
16103,C-47727
11926,C-42291
18488,C-50989
12057,C-42447
14481,C-45559
17137,C-49152
12424,C-42917
18000,C-50318
18027,C-50354
16903,C-48824
13565,C-44360
16897,C-48816
14508,C-45593
16004,C-47598
18347,C-50792
13294,C-44017
11052,C-41244
12691,C-43255
11194,C-41412
12295,C-42747
13004,C-43640
14607,C-45724
10233,C-40267
15870,C-47426
10755,C-40884
17026,C-48993
21538,C-55179
16412,C-48162
10921,C-41083
20185,C-53327
17695,C-49900
11733,C-42054
13404,C-44159
13143,C-43816
13648,C-44461
14798,C-45986
10253,C-40290
13787,C-44647
12362,C-42840
13321,C-44054
15938,C-47513
20413,C-53646
13832,C-44710
23143,C-57350
13488,C-44260
17097,C-49097
21898,C-55660
12517,C-43040
16908,C-48830
15326,C-46690
13483,C-44255
17768,C-50004
12746,C-43327
14711,C-45871
17234,C-49278
14833,C-46032
14000,C-44930
11187,C-41401
16899,C-48819
15676,C-47164
13838,C-44720
15044,C-46326
19318,C-52132
20703,C-54023
18210,C-50608
11117,C-41316
19657,C-52609
21974,C-55771
23794,C-58223
10001,C-40003
13137,C-43806
21064,C-54536
11403,C-41653
23556,C-57900
14864,C-46080
22211,C-56091
14420,C-45469
17958,C-50261
15540,C-46988
17976,C-50284
15513,C-46957
12607,C-43146
11496,C-41771
15934,C-47507
13464,C-44231
13139,C-43808
20508,C-53776
19442,C-52306
23079,C-57258
21820,C-55546
12713,C-43282
10862,C-41011
11808,C-42149
17522,C-49662
10443,C-40509
22155,C-56014
23155,C-57371
14928,C-46174
12887,C-43500
18149,C-50517
13268,C-43982
18405,C-50872
19616,C-52555
17147,C-49167
10534,C-40620
21872,C-55623
18546,C-51076
19413,C-52265
13381,C-44130
19368,C-52203
22908,C-57027
22895,C-57010
12666,C-43223
20894,C-54279
21299,C-54850
12331,C-42794
15821,C-47357
21214,C-54727
20276,C-53453
20850,C-54220
22740,C-56806
23308,C-57569
22499,C-56476
17085,C-49082
21871,C-55622
17749,C-49971
14448,C-45509
11743,C-42065
12365,C-42844
12507,C-43024
16068,C-47678
17945,C-50245
13885,C-44784
22890,C-57003
11609,C-41900
17328,C-49403
20960,C-54374
18372,C-50827
12716,C-43286
18097,C-50449
10029,C-40033
19626,C-52569
12610,C-43149
14370,C-45400
16057,C-47662
11379,C-41625
16505,C-48280
20351,C-53561
21054,C-54518
18283,C-50710
14934,C-46183
19638,C-52587
20813,C-54168
17711,C-49923
23380,C-57665
15228,C-46572
14220,C-45224
13108,C-43769
19682,C-52645
10912,C-41072
14184,C-45178
18574,C-51112
17082,C-49076
17348,C-49429
21273,C-54811
18506,C-51020
12610,C-43150
15451,C-46864
18481,C-50980
21009,C-54457
14187,C-45185
20470,C-53721
21418,C-55011
14413,C-45457
16208,C-47893
23810,C-58245
14477,C-45553
10685,C-40800
23351,C-57624
11412,C-41666
19333,C-52154
20701,C-54020
19684,C-52648
19499,C-52386
12490,C-42999
18621,C-51176
18799,C-51417
20846,C-54215
15052,C-46339
15935,C-47508
11915,C-42279
17160,C-49184
15876,C-47435
21280,C-54821
12461,C-42964
18528,C-51052
14431,C-45484
11992,C-42371
17659,C-49845
12252,C-42692
16304,C-48015
14212,C-45215
12234,C-42671
16385,C-48125
10682,C-40796
21436,C-55034
10574,C-40667
20039,C-53126
14704,C-45863
17320,C-49394
12463,C-42967
18950,C-51618
14412,C-45456
21228,C-54747
23387,C-57674
13901,C-44804
20242,C-53401
16351,C-48079
16351,C-48080
19431,C-52289
13699,C-44526
17309,C-49380
17386,C-49483
17067,C-49056
18925,C-51583
14698,C-45854
16240,C-47931
20563,C-53846
20239,C-53396
18947,C-51613
17707,C-49917
17487,C-49616
18865,C-51507
20053,C-53143
12482,C-42989
21121,C-54611
23122,C-57319
15726,C-47234
17630,C-49806
17467,C-49591
10624,C-40728
20575,C-53863
22265,C-56162
19586,C-52506
18925,C-51582
23148,C-57358
16390,C-48132
10626,C-40731
16747,C-48609
13092,C-43752
18754,C-51356
17542,C-49691
20713,C-54036
15992,C-47583
13616,C-44424
14836,C-46042
15693,C-47187
20679,C-53994
18627,C-51185
15658,C-47142
17049,C-49026
10686,C-40801
17104,C-49107
14586,C-45695
17867,C-50133
16610,C-48424
12922,C-43540
14107,C-45075
12482,C-42990
14625,C-45745
13514,C-44292
14449,C-45512
15111,C-46421
18196,C-50586
16999,C-48955
16075,C-47687
19329,C-52146
20975,C-54396
18345,C-50790
12390,C-42875
20108,C-53217
17540,C-49687
20138,C-53253
15859,C-47414
13517,C-44295
15607,C-47074
14155,C-45138
11800,C-42140
22357,C-56281
17573,C-49731
10862,C-41012
10513,C-40593
13268,C-43983
16294,C-48002
14630,C-45755
13536,C-44320
16632,C-48459
15345,C-46715
13657,C-44474
18625,C-51181
16446,C-48204
22261,C-56156
16202,C-47885
24209,C-58773
16217,C-47903
13141,C-43812
19104,C-51838
16476,C-48242
19385,C-52223
19319,C-52134
18308,C-50742
14630,C-45756
17762,C-49992
22391,C-56326
19374,C-52209
18688,C-51267
20483,C-53740
18384,C-50843
16813,C-48694
16545,C-48336
16923,C-48853
14267,C-45284
11980,C-42357
12812,C-43407
17988,C-50302
14665,C-45805
18113,C-50473
19228,C-52005
14671,C-45815
21232,C-54752
11122,C-41322
16559,C-48357
17415,C-49523
10050,C-40059
20309,C-53498
18175,C-50557
16368,C-48103
12042,C-42429
16388,C-48130
15471,C-46891
10050,C-40060
14626,C-45746
19550,C-52454
17028,C-48996
16982,C-48931
19239,C-52020
20994,C-54432
16231,C-47920
13680,C-44505
19717,C-52694
21165,C-54665
15718,C-47218
19902,C-52942
13875,C-44772
18204,C-50597
17442,C-49560
22584,C-56584
16720,C-48577
12029,C-42414
10854,C-41000
10450,C-40521
10242,C-40278
21473,C-55084
10662,C-40770
17415,C-49524
20406,C-53636
12668,C-43226
11901,C-42264
18373,C-50828
16649,C-48484
19670,C-52626
15639,C-47115
13735,C-44573
14691,C-45844
15858,C-47412
21398,C-54984
16080,C-47697
13676,C-44500
18195,C-50585
22248,C-56141
10722,C-40843
22866,C-56970
21625,C-55294
17662,C-49853
15403,C-46801
15093,C-46395
19363,C-52197
15680,C-47169
20679,C-53995
17350,C-49431
19452,C-52321
14541,C-45636
14184,C-45179
18572,C-51110
16637,C-48466
18179,C-50565
12457,C-42958
19400,C-52248
20195,C-53339
12006,C-42386
15170,C-46500
11360,C-41601
19956,C-53018
19137,C-51879
11537,C-41817
23324,C-57590
17505,C-49643
10912,C-41071
14327,C-45350
22472,C-56434
16200,C-47877
11956,C-42329
22299,C-56206
17215,C-49252
15912,C-47476
12276,C-42723
20619,C-53918
17076,C-49068
16225,C-47913
15400,C-46797
11933,C-42298
16537,C-48325
13771,C-44623
19883,C-52914
14858,C-46069
15565,C-47022
17053,C-49032
19391,C-52232
20334,C-53535
17687,C-49884
16490,C-48264
12514,C-43034
22470,C-56430
24538,C-59207
12276,C-42722
18979,C-51667
10644,C-40751
22282,C-56184
16300,C-48009
11174,C-41386
22475,C-56438
12606,C-43143
12791,C-43381
17401,C-49506
17189,C-49221
15385,C-46775
14451,C-45516
10498,C-40577
14910,C-46148
11495,C-41770
10918,C-41079
24024,C-58526
16405,C-48151
14793,C-45980
18622,C-51178
20987,C-54415
12159,C-42579
11485,C-41755
17141,C-49160
15809,C-47343
13132,C-43798
15567,C-47025
18658,C-51228
21203,C-54711
22856,C-56956
17947,C-50249
14841,C-46050
20870,C-54247
18934,C-51596
16068,C-47679
21455,C-55062
17349,C-49430
17053,C-49031
17390,C-49492
23410,C-57707
22032,C-55850
13367,C-44110
19465,C-52341
19738,C-52722
19589,C-52510
16331,C-48048
12686,C-43250
12430,C-42925
22493,C-56469
13948,C-44866
19666,C-52622
16205,C-47889
15556,C-47007
16586,C-48390
18162,C-50539
18162,C-50538
16227,C-47915
17825,C-50080
18954,C-51622
16596,C-48405
19372,C-52207
15208,C-46545
19817,C-52827
17763,C-49993
12544,C-43070
23854,C-58297
14652,C-45787
17824,C-50079
20021,C-53101
14406,C-45447
14861,C-46075
19981,C-53052
10905,C-41061
18965,C-51645
17202,C-49238
15858,C-47411
17864,C-50130
14581,C-45690
14686,C-45837
10561,C-40652
13527,C-44307
13706,C-44537
13706,C-44536
17127,C-49137
15358,C-46736
14707,C-45866
17814,C-50064
14427,C-45478
16196,C-47867
16685,C-48530
13785,C-44645
16462,C-48226
14576,C-45684
18025,C-50351
21260,C-54793
18996,C-51694
19422,C-52279
14274,C-45291
14675,C-45820
22427,C-56374
10021,C-40024
22073,C-55903
22398,C-56335
20192,C-53336
15046,C-46330
17500,C-49638
15655,C-47139
16990,C-48942
24008,C-58499
13362,C-44105
16214,C-47899
19627,C-52570
19286,C-52088
19800,C-52801
17971,C-50278
14083,C-45048
21472,C-55083
10149,C-40168
11517,C-41796
11518,C-41797
20284,C-53462
17417,C-49526
10687,C-40803
16408,C-48156
20149,C-53274
22012,C-55819
14806,C-45997
16134,C-47778
20478,C-53735
18930,C-51592
15854,C-47407
19329,C-52147
15010,C-46274
17696,C-49903
12885,C-43497
10163,C-40184
11298,C-41528
15819,C-47355
17336,C-49413
17659,C-49844
24093,C-58618
16405,C-48150
14434,C-45491
10773,C-40906
17179,C-49208
20358,C-53572
17321,C-49395
19534,C-52436
19597,C-52523
20919,C-54317
16720,C-48576
20177,C-53317
18050,C-50385
22784,C-56856
22640,C-56661
19061,C-51779
16449,C-48210
14915,C-46156
14175,C-45165
19231,C-52008
15243,C-46590
24271,C-58851
18413,C-50882
11615,C-41912
18515,C-51032
20099,C-53204
10021,C-40025
13521,C-44300
15016,C-46286
19246,C-52027
19850,C-52873
18420,C-50891
23494,C-57813
18175,C-50558
19393,C-52234
14432,C-45487
15579,C-47040
19529,C-52426
12827,C-43428
16086,C-47704
18403,C-50867
10890,C-41043
20515,C-53783
23373,C-57652
19585,C-52504
12584,C-43118
19557,C-52463
13169,C-43850
15506,C-46944
10268,C-40309
15151,C-46471
16287,C-47992
13063,C-43716
16444,C-48202
15128,C-46441
14719,C-45883
10201,C-40231
15060,C-46352
14409,C-45452
10325,C-40380
18022,C-50346
14672,C-45816
18375,C-50831
18850,C-51487
15419,C-46822
12152,C-42569
15261,C-46612
17776,C-50016
21306,C-54859
14908,C-46145
10612,C-40714
20964,C-54379
19467,C-52343
14181,C-45173
10709,C-40828
15872,C-47430
14646,C-45779
15361,C-46740
24123,C-58657
13764,C-44610
20487,C-53749
21541,C-55184
14660,C-45799
15056,C-46346
19451,C-52318
13941,C-44857
15620,C-47091
24062,C-58577
18722,C-51308
22149,C-56005
17873,C-50143
24346,C-58955
17567,C-49722
11953,C-42323
20629,C-53930
14154,C-45137
19699,C-52672
21889,C-55646
18541,C-51068
15154,C-46475
12013,C-42394
17741,C-49962
12550,C-43076
24126,C-58661
18361,C-50812
12979,C-43611
24178,C-58729
13299,C-44026
15624,C-47096
13672,C-44494
24195,C-58754
24404,C-59029
18667,C-51239
14898,C-46131
13560,C-44354
16497,C-48272
22316,C-56227
21883,C-55639
15440,C-46852
17869,C-50138
22936,C-57062
24115,C-58648
10174,C-40198
12641,C-43191
19128,C-51869
19813,C-52822
12975,C-43607
22170,C-56038
14110,C-45080
22080,C-55915
23666,C-58044
18538,C-51064
14922,C-46167
21770,C-55484
15869,C-47424
15219,C-46560
23224,C-57460
16888,C-48804
19993,C-53066
19123,C-51864
19552,C-52456
17772,C-50010
23401,C-57693
22691,C-56737
13218,C-43921
16763,C-48629
15006,C-46269
20898,C-54288
16361,C-48095
15980,C-47565
18820,C-51450
12737,C-43315
23746,C-58155
22477,C-56441
20536,C-53811
20743,C-54073
21482,C-55096
23301,C-57557
21264,C-54799
18624,C-51180
12899,C-43514
17996,C-50312
17489,C-49619
19838,C-52856
16231,C-47919
13921,C-44832
13509,C-44286
21034,C-54493
15040,C-46321
21910,C-55679
22629,C-56639
19351,C-52180
24311,C-58904
23187,C-57409
22667,C-56698
18120,C-50483
18281,C-50706
19711,C-52687
19896,C-52935
10191,C-40220
10191,C-40219
15469,C-46889
17018,C-48980
18534,C-51059
23079,C-57259
17584,C-49749
19888,C-52921
17760,C-49988
24284,C-58866
13691,C-44517
21829,C-55561
22269,C-56166
12034,C-42420
17569,C-49724
10509,C-40588
18771,C-51380
12725,C-43297
18964,C-51643
16896,C-48815
17113,C-49119
21023,C-54479
23262,C-57509
10989,C-41163
20832,C-54194
22181,C-56054
20453,C-53701
23570,C-57921
13704,C-44534
19613,C-52548
19835,C-52852
22452,C-56409
18102,C-50457
16974,C-48920
19951,C-53008
19183,C-51943
19569,C-52477
16827,C-48714
21560,C-55206
10731,C-40856
14590,C-45700
12783,C-43371
10071,C-40083
15622,C-47094
11261,C-41486
12763,C-43348
14529,C-45619
13889,C-44789
16531,C-48315
18892,C-51542
23523,C-57855
20296,C-53482
23762,C-58177
17758,C-49986
18390,C-50850
13491,C-44263
24636,C-59331
12652,C-43206
17984,C-50294
22888,C-57001
15914,C-47480
22358,C-56283
20397,C-53624
23719,C-58116
23266,C-57514
18008,C-50328
13914,C-44823
22330,C-56242
10999,C-41173
16364,C-48098
21805,C-55530
13297,C-44022
12339,C-42805
18420,C-50890
22753,C-56822
18695,C-51279
21607,C-55271
22803,C-56883
19424,C-52281
21783,C-55499
24194,C-58753
13086,C-43744
20820,C-54177
18424,C-50895
12296,C-42749
23932,C-58397
20596,C-53888
16740,C-48602
13878,C-44775
16053,C-47658
19060,C-51777
24045,C-58557
14498,C-45582
13437,C-44199
13794,C-44656
16383,C-48123
14858,C-46071
18582,C-51123
16666,C-48508
16107,C-47732
17691,C-49892
24558,C-59235
19216,C-51988
20882,C-54265
23284,C-57537
17319,C-49393
22533,C-56518
22055,C-55881
11836,C-42182
13954,C-44875
10898,C-41053
19497,C-52383
11156,C-41366
16560,C-48359
23170,C-57389
22087,C-55923
14869,C-46089
22054,C-55880
24656,C-59360
12005,C-42385
19767,C-52760
21826,C-55555
12139,C-42550
16141,C-47786
12974,C-43604
23930,C-58395
22718,C-56776
18575,C-51114
12302,C-42757
17694,C-49899
18321,C-50758
12732,C-43309
14030,C-44970
13647,C-44458
14079,C-45044
22307,C-56218
15022,C-46294
18470,C-50964
13098,C-43758
21840,C-55577
20741,C-54071
19855,C-52879
19983,C-53054
12857,C-43464
17629,C-49805
18608,C-51160
11739,C-42060
13383,C-44133
13736,C-44576
17799,C-50046
19762,C-52753
16953,C-48891
14461,C-45533
21538,C-55178
16190,C-47861
22911,C-57031
19308,C-52119
19908,C-52952
14886,C-46113
12092,C-42489
18708,C-51292
11742,C-42063
17004,C-48962
12673,C-43231
16444,C-48201
16727,C-48588
17512,C-49652
10319,C-40372
20553,C-53835
12710,C-43279
15522,C-46969
18166,C-50544
13283,C-44001
18033,C-50361
19673,C-52630
21230,C-54750
24751,C-59479
21262,C-54796
16838,C-48729
24481,C-59131
11972,C-42349
12253,C-42693
13772,C-44625
22360,C-56285
14566,C-45671
21594,C-55251
21052,C-54514
18012,C-50332
16076,C-47689
20527,C-53801
24006,C-58496
15598,C-47063
20716,C-54041
19027,C-51738
18081,C-50430
16765,C-48631
23415,C-57712
18256,C-50674
21860,C-55607
10828,C-40971
21707,C-55406
24244,C-58815
16707,C-48555
12408,C-42898
19229,C-52006
14227,C-45235
16326,C-48043
14117,C-45090
20889,C-54274
18876,C-51523
23721,C-58120
11784,C-42117
16344,C-48065
20143,C-53264
19441,C-52304
19722,C-52700
15439,C-46849
14603,C-45720
17889,C-50164
19647,C-52597
24751,C-59478
18615,C-51170
23096,C-57285
21083,C-54564
20793,C-54140
20147,C-53268
19770,C-52764
12211,C-42641
11273,C-41500
24481,C-59130
16955,C-48894
25009,C-59828
23848,C-58289
19561,C-52467
10966,C-41136
10069,C-40081
21502,C-55130
18742,C-51338
23716,C-58112
15139,C-46457
24193,C-58750
21375,C-54953
20251,C-53416
11230,C-41454
19344,C-52173
21771,C-55485
13565,C-44361
20251,C-53415
17769,C-50005
21605,C-55268
13041,C-43686
17485,C-49612
10172,C-40195
17336,C-49414
21406,C-54993
17863,C-50128
11509,C-41786
17435,C-49550
12710,C-43278
12694,C-43259
13775,C-44628
19994,C-53068
15287,C-46643
13762,C-44608
11235,C-41459
17064,C-49050
16683,C-48527
24674,C-59381
13926,C-44839
13649,C-44463
18338,C-50782
15439,C-46850
24291,C-58878
14888,C-46116
17102,C-49105
13679,C-44504
11938,C-42304
10786,C-40921
16210,C-47895
15157,C-46480
12375,C-42855
23577,C-57931
22590,C-56592
11929,C-42294
17009,C-48968
20097,C-53200
24675,C-59383
14524,C-45614
24710,C-59430
20343,C-53545
21563,C-55210
15016,C-46285
22196,C-56071
22538,C-56526
14289,C-45308
18351,C-50797
21916,C-55685
19563,C-52469
19503,C-52392
15663,C-47148
21380,C-54958
11186,C-41400
10639,C-40745
21634,C-55305
13037,C-43680
19251,C-52033
10321,C-40375
20054,C-53145
12853,C-43459
18956,C-51625
14411,C-45455
19792,C-52793
18764,C-51370
17911,C-50196
17617,C-49793
18335,C-50777
15529,C-46977
16117,C-47750
11093,C-41290
22970,C-57108
22612,C-56618
12164,C-42585
24792,C-59535
14328,C-45352
11860,C-42216
16118,C-47751
19750,C-52737
24701,C-59417
18041,C-50372
15390,C-46784
12836,C-43440
13144,C-43818
24194,C-58752
24358,C-58969
24780,C-59516
16967,C-48910
23084,C-57266
18642,C-51208
15623,C-47095
10788,C-40923
20165,C-53297
20863,C-54239
16656,C-48493
10801,C-40939
18832,C-51463
17367,C-49458
10274,C-40319
10558,C-40648
11720,C-42038
24837,C-59598
15430,C-46835
20779,C-54125
22629,C-56640
21834,C-55569
21834,C-55568
16331,C-48049
19764,C-52757
13072,C-43726
18860,C-51499
16778,C-48647
16897,C-48817
23662,C-58039
23973,C-58453
18011,C-50331
11866,C-42224
15639,C-47114
23323,C-57585
24694,C-59408
17672,C-49865
17286,C-49348
10919,C-41081
21829,C-55562
23972,C-58450
22851,C-56949
13381,C-44131
20988,C-54416
19700,C-52674
14900,C-46134
23679,C-58061
24250,C-58824
14862,C-46077
15210,C-46550
17854,C-50119
19143,C-51885
18886,C-51536
12973,C-43603
17064,C-49051
25163,C-60042
15519,C-46966
15223,C-46566
11447,C-41706
17909,C-50193
13929,C-44843
19441,C-52303
22758,C-56827
16687,C-48533
21176,C-54680
14414,C-45459
17089,C-49087
15751,C-47267
16588,C-48393
13544,C-44333
10787,C-40922
19601,C-52529
15464,C-46881
18071,C-50413
20361,C-53575
19676,C-52636
21500,C-55126
17700,C-49908
18036,C-50365
17308,C-49378
25215,C-60121
19117,C-51857
16956,C-48895
11386,C-41634
25008,C-59824
19745,C-52730
15996,C-47589
13457,C-44223
20667,C-53975
14641,C-45770
12102,C-42503
18414,C-50884
12271,C-42715
11457,C-41720
20023,C-53103
21074,C-54551
20805,C-54156
19957,C-53020
19155,C-51903
11842,C-42191
17055,C-49035
22545,C-56533
16847,C-48740
22951,C-57080
18929,C-51590
15428,C-46833
23746,C-58156
22990,C-57138
20222,C-53377
23763,C-58179
15197,C-46532
